,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,TBATS,TFT,N-HiTS
2024-12-01,0.0,0.1216367265469062,0.0,0.11706187624750504,0.14936526946107806,0.0,0.0,0.0,3.193612774451106e-05,0.0214690618762475,0.0,0.0,2.395209580838325e-05,0.5904111776447106,0.0
2024-12-02,0.0,0.08787225548902199,0.0,0.13521756487025957,0.1441357285429143,0.0,0.0,0.0,3.193612774451106e-05,0.0,0.0,0.0,2.395209580838325e-05,0.6327185628742519,0.0
2024-12-03,0.0,0.1186267465069861,0.0,0.14808782435129744,0.10182035928143716,0.0,0.0,0.0,3.193612774451106e-05,0.0,0.0,0.0,2.395209580838325e-05,0.620798403193613,0.010610778443113781
2024-12-04,0.0,0.009285429141716565,0.0,0.23908982035928134,0.1451656686626747,0.0,0.0,0.0,4.79041916167665e-05,0.037572854291417164,0.0,0.00011177644710578857,2.395209580838325e-05,0.5687025948103794,0.0
2024-12-05,0.0,0.047824351297405185,0.0,0.18462275449101806,0.15059481037924158,0.0,0.0,0.0,4.79041916167665e-05,0.020822355289421154,0.0,0.00011177644710578857,2.395209580838325e-05,0.5959520958083829,0.0
2024-12-06,0.0,0.07637524950099797,0.0,0.15132934131736528,0.14070259481037928,0.0,0.0,0.0,4.79041916167665e-05,0.006211576846307387,0.0,0.00013572854291417182,2.395209580838325e-05,0.6099321357285428,0.015241516966067858
2024-12-07,8.782435129740529e-05,0.1311457085828344,0.0,0.09329341317365267,0.10669061876247506,0.0,0.0,0.0,4.79041916167665e-05,0.0,0.0,7.984031936127767e-05,0.0004231536926147707,0.5977245508982034,0.0705069860279441
2024-12-08,0.0,0.14227544910179638,0.0,0.07900998003992014,0.1124630738522955,0.0,0.0,0.0,3.193612774451106e-05,0.0,0.0,0.0,2.395209580838325e-05,0.5984590818363271,0.06773652694610789
2024-12-09,0.0,0.17722954091816376,0.0,0.038139720558882206,0.05224750499001994,0.045109780439121776,0.0,0.0,3.193612774451106e-05,0.0,0.0,0.0,0.005604790419161675,0.6502115768463074,0.031425149700598815
2024-12-10,0.0,0.16142115768463092,0.0,0.07057085828343317,0.0,0.09000399201596804,0.0,0.0,3.193612774451106e-05,0.0,0.0,8.782435129740529e-05,0.018275449101796404,0.6447504990019961,0.014858283433133732
2024-12-11,0.0,0.1552814371257486,0.0,0.0,0.06603592814371263,0.07876247504990025,0.0,0.0,4.79041916167665e-05,0.029852295409181658,0.0,8.782435129740529e-05,0.01577644710578842,0.6541556886227547,0.0
2024-12-12,0.0,0.09382035928143719,0.0,0.0,0.03013972055888225,0.14793612774451115,0.0,0.0,0.000191616766467066,0.06432734530938126,0.0,0.0,0.00013572854291417176,0.6215249500998004,0.04192415169660677
2024-12-13,0.0,0.07919361277445117,0.0,0.0,0.020894211576846306,0.19405988023952098,0.0,0.0,0.0,0.04259481037924156,0.0,0.0,0.018275449101796397,0.5822035928143716,0.0627784431137725
2024-12-14,0.0,0.08113373253493021,0.0,0.0,0.03263872255489026,0.19249500998004004,0.0,0.0,0.0,0.04051097804391219,0.0,0.0,0.02625948103792417,0.5484391217564871,0.07852295409181642
2024-12-15,0.0,0.0822115768463074,0.0,8.782435129740529e-05,0.09431536926147707,0.14109381237524948,0.0,0.0,0.0,0.029692614770459088,0.0,0.0,0.07928942115768468,0.5559600798403194,0.017349301397205592
2024-12-16,0.0,0.086810379241517,8.782435129740529e-05,0.0,0.09081836327345309,0.12085429141716575,0.0,0.0,0.0,0.06481437125748503,0.0,0.0,0.07550499001996008,0.526690618762475,0.03441916167664673
2024-12-17,0.0,0.11425149700598812,0.0,0.0,0.08662674650698607,0.07998403193612783,0.0,0.0,0.0,0.0936606786427146,0.0,0.0,0.08000000000000004,0.5281437125748502,0.017333333333333333
2024-12-18,0.0,0.05156886227544912,0.0,1.596806387225553e-05,0.14361676646706578,0.1285349301397205,0.0,0.0,0.0,0.02523752495009982,0.0,0.0,0.07362874251497013,0.5773972055888222,0.0
2024-12-19,0.0,0.0,0.0,0.03527345309381237,0.0,0.1557924151696606,0.0,0.0,0.08314570858283439,0.04978842315369258,0.0,7.984031936127766e-06,0.018027944111776446,0.6050139720558875,0.05295009980039923
2024-12-20,0.0,0.0,0.0,0.0012375249500998018,0.0,0.25056287425149715,0.0,0.0,0.015544910179640735,0.041061876247504986,0.0,0.0,0.01439520958083833,0.5276646706586832,0.14953293413173652
2024-12-21,0.0,0.0,0.0,0.0006946107784431139,0.0,0.24782435129740532,0.0,0.0,0.00012774451097804425,0.05197604790419165,0.0,0.0,0.006794411177644713,0.5397924151696611,0.15279041916167665
2024-12-22,0.0,0.0,0.0,0.007289421157684638,0.0,0.25146506986027917,0.0,0.0,1.596806387225553e-05,0.015992015968063874,0.0,0.0,0.012423153692614772,0.5473852295409184,0.165429141716567
2024-12-23,0.0,0.0,0.0,0.0006546906187624757,0.0,0.2568063872255489,0.0,0.0,1.596806387225553e-05,0.009005988023952093,0.0,0.0,0.013221556886227547,0.5317445109780439,0.1885508982035929
2024-12-24,0.0,0.0,0.0,0.03431536926147704,0.0,0.22473453093812382,0.0,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.023449101796407194,0.5491417165668666,0.1683433133732536
2024-12-25,0.0,0.13070658682634737,0.0,0.060111776447105816,0.0,0.10483832335329339,0.0,0.0,0.0,0.0,0.0,0.0,0.05848303393213573,0.34365668662674637,0.30220359281437115
