,XGBoost,LightGBM,CatBoost,SVR,KNN,ElasticNet,LSTM,Prophet,SARIMAX,TFT
2024-12-01,0.0,0.0,0.1682475049900202,0.06199600798403195,0.3129021956087824,0.0,3.193612774451106e-05,0.011944111776447107,0.4448782435129742,0.0
2024-12-02,6.387225548902212e-05,0.0,0.17881836327345327,0.10300199600798401,0.2725269461077846,0.0,0.0,0.0,0.44558882235528924,0.0
2024-12-03,3.193612774451106e-05,0.0,0.17803592814371255,0.08956487025948107,0.2576606786427146,0.0,0.0,0.0,0.4747065868263472,0.0
2024-12-04,0.0,0.0,0.12154091816367273,0.14735329341317377,0.25537724550898194,0.0,1.596806387225553e-05,0.0,0.4757125748502999,0.0
2024-12-05,0.05053892215568862,0.0,0.08406387225548903,0.17306187624750516,0.2147065868263474,0.0,1.596806387225553e-05,0.0,0.4776127744510979,0.0
2024-12-06,0.0561596806387226,0.03506586826347309,0.06947704590818365,0.18238722554890224,0.15413972055888225,0.0,0.003768463073852296,0.0,0.4990019960079839,0.0
2024-12-07,0.10844710578842331,0.0,0.0,0.195864271457086,0.1478243512974053,0.0,0.0,0.0,0.547864271457086,0.0
2024-12-08,0.1567425149700598,0.0,0.0,0.2297804391217565,0.07036327345309382,0.0,0.0,0.0,0.5430898203592814,2.395209580838325e-05
2024-12-09,0.008822355289421156,0.06374451097804389,0.0,0.36044710578842337,0.021540918163672648,0.0,0.0,0.0,0.5040638722554888,0.04138123752495014
2024-12-10,0.003992015968063873,0.0,0.0,0.4415968063872255,1.596806387225553e-05,0.0,0.0,7.984031936127767e-05,0.45431536926147703,0.1
2024-12-11,0.0,0.0,0.0,0.3319041916167666,8.782435129740531e-05,0.0,0.09819560878243515,4.79041916167665e-05,0.569676646706587,8.782435129740531e-05
2024-12-12,0.0,0.0,0.0,0.37786826347305447,1.596806387225553e-05,0.0,0.03550499001996007,0.075185628742515,0.511401197604791,2.395209580838325e-05
2024-12-13,0.0,0.0,0.0,0.43394011976047897,0.005205588822355292,0.0,0.0,0.1109620758483034,0.44986826347305375,2.395209580838325e-05
2024-12-14,0.0,0.0,0.0,0.38505389221556924,0.11608782435129743,0.0,0.0,0.11180838323353293,0.38704990019960067,0.0
2024-12-15,0.0,0.0,0.0,0.27992814371257485,0.20052694610778443,0.0,0.0,0.12816766467065874,0.39137724550898223,0.0
2024-12-16,0.0,0.0,0.13826746506986046,0.0917365269461078,0.22859081836327344,0.0,0.0,0.19369261477045918,0.3477125748502994,0.0
2024-12-17,0.0,0.0,0.19728542914171676,0.0032814371257485014,0.20424750499002006,0.0,0.0,0.3084710578842315,0.28671457085828345,0.0
2024-12-18,0.0,0.0,0.16411976047904192,0.1523433133732538,0.15058682634730539,0.0,0.0,0.21129740518962087,0.32162874251497003,2.395209580838325e-05
2024-12-19,0.0,0.0,0.4633772455089822,0.0,4.79041916167665e-05,0.0,0.00011177644710578857,0.15091417165668677,0.38547704590818377,7.185628742514981e-05
2024-12-20,0.0,0.0,0.4836407185628744,0.0,0.00033532934131736574,0.0,0.0,0.05596007984031933,0.3631616766467065,0.09690219560878247
2024-12-21,0.0,0.0,0.38048702594810385,0.06721756487025957,0.021812375249500998,0.0,0.0,0.041812375249501,0.2280798403193614,0.26059081836327336
2024-12-22,0.24854291417165694,0.0,0.21295808383233553,0.0,0.05528942115768467,0.0,0.0,0.0,0.15832335329341315,0.32488622754491037
2024-12-23,0.10149301397205594,0.0,0.34360878243512966,0.0,0.07270259481037929,0.0,0.0,0.0,0.07197604790419161,0.4102195608782436
2024-12-24,0.036846307385229565,0.0,0.37665469061876267,0.0,0.09619161676646712,0.0,0.0,0.0,0.02929341317365271,0.46101397205588823
2024-12-25,0.05104990019960082,0.02764870259481039,0.49497804391217565,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.42630738522954115
