,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.0,0.0,0.0,0.0795717139938413,0.0,0.0,0.0,0.0,0.0,0.09029192746817793,0.0,0.07304343827892253,0.0,0.6306705824697008,0.12642233778935752
2024-12-02,0.0,0.0,0.0,0.08914031623626212,0.0,0.02476686471343759,0.0,0.0,0.0,0.0,0.0,0.1556818935396403,0.0,0.5785232177355263,0.15188770777513366
2024-12-03,0.0,0.06435703631860984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03444638939549885,0.179763234622436,0.0,0.48186221663464707,0.23957112302880823
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23107193649352492,0.0,0.45051171196072615,0.31841635154574893
2024-12-05,0.0,0.03420194548659586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24161095202556634,0.0,0.44335540023194486,0.280831702255893
2024-12-06,0.0,0.03818074960250291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2413655399205235,0.0,0.45525587907626436,0.26519783140070935
2024-12-07,0.0,0.030883707963597382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27205583828315255,0.0,0.4535905965327111,0.24346985722053893
2024-12-08,0.0,0.01281295015716239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269721522607719,0.0,0.4696988269907047,0.247766700244414
2024-12-09,0.0,0.07086323424618454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24605605745298642,0.0,0.5566316993069321,0.12644900899389688
2024-12-10,0.0,0.010983428531635605,0.0,0.09858892023654656,0.0015898890719569059,0.020107035696073482,0.0,0.0,0.0,0.0,0.0,0.19473446443376108,0.0,0.5924810419545745,0.08151522007545202
2024-12-11,0.0,0.010697242005708046,0.0,0.0,0.024016419440277045,0.0,0.0,0.0,0.0,0.0,0.0,0.2663821935904918,0.0,0.6382189054227536,0.06068523954076951
