,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.10383233532934139,0.05938522954091816,0.0,0.0,0.03567265469061876,0.0,0.0,0.0,1.596806387225553e-05,0.1517684630738523,0.0,7.984031936127767e-05,0.0,0.3065069860279444,0.3427385229540921
2024-12-02,0.17128942115768472,0.0,0.0,0.0,0.0668982035928144,0.0,0.0,0.0,1.596806387225553e-05,0.10229141716566868,0.0,0.00627544910179641,0.0,0.3827225548902197,0.270506986027944
2024-12-03,0.16284231536926153,0.0,0.0,0.016734530938123753,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.04190019960079838,0.0,0.0007025948103792423,0.0,0.4389620758483029,0.33884231536926146
2024-12-04,0.013916167664670657,0.0,0.0,0.12910179640718558,0.0534930139720559,0.0,0.0,0.0,1.596806387225553e-05,0.07172854291417168,0.0,0.00047904191616766553,0.0,0.4048782435129743,0.3263872255489023
2024-12-05,0.0,3.992015968063883e-05,0.0,0.16829540918163688,0.0024750499001996024,0.0,0.0,0.0,1.596806387225553e-05,0.06154091816367266,0.0,0.015345309381237527,0.0,0.3832015968063871,0.36908582834331355
2024-12-06,0.0,3.992015968063883e-05,0.0,0.17012375249500994,7.185628742514981e-05,0.0,0.0,0.0,1.596806387225553e-05,0.0655489021956088,0.0,0.00021556886227544952,0.0,0.3815648702594811,0.3824191616766468
2024-12-07,0.0,3.992015968063883e-05,0.0,0.17169660678642723,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.07203193612774454,0.0,0.00021556886227544952,0.0,0.40409580838323356,0.35190419161676684
2024-12-08,0.0,0.0,0.0,0.17442714570858292,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.06914171656686635,0.0,0.0005908183632734536,0.0,0.4091736526946108,0.3466506986027946
2024-12-09,0.0,0.0,0.0,0.1234730538922156,0.0,0.06883033932135728,0.0,0.0,1.596806387225553e-05,0.02958882235528942,0.0,0.030435129740518985,0.0,0.43552095808383195,0.312135728542914
2024-12-10,0.0,0.0,0.0,0.14063872255489032,0.0,0.05797205588822355,0.0,0.0,1.596806387225553e-05,0.025069860279441126,0.0,0.03047504990019961,0.0,0.4376606786427149,0.30816766467065887
2024-12-11,0.0,0.0,0.0,0.0,0.013876247504990023,0.1045668662674651,0.0,0.0,1.596806387225553e-05,0.11263872255489027,0.0,8.782435129740531e-05,0.0,0.4182275449101799,0.35058682634730526
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.07573652694610782,0.0,0.0,1.596806387225553e-05,0.16581237524950102,0.0,0.025660678642714596,0.0,0.3191536926147706,0.41362075848303415
2024-12-13,0.0,0.0,0.0,0.0,0.00015169660678642747,0.04618762475049904,0.0,0.0,1.596806387225553e-05,0.22562075848303417,0.0,0.00010379241516966087,0.0,0.3365189620758481,0.39140119760479025
2024-12-14,0.0,0.0,0.0,0.010794411177644707,0.007049900199600806,0.04081437125748505,0.0,0.0,0.0,0.24681836327345313,0.0,4.79041916167665e-05,0.0,0.3255089820359284,0.3689660678642718
2024-12-15,0.0,0.0,0.0,0.07019560878243518,0.004598802395209583,0.0,0.0,0.0,0.0,0.2687984031936129,0.0,0.00013572854291417176,0.0,0.33538522954091826,0.32088622754491025
2024-12-16,0.0,0.0,0.0,3.193612774451106e-05,0.1166067864271457,0.03434730538922156,0.0,0.0,0.0,0.16467065868263478,0.0,4.79041916167665e-05,0.0,0.3891816367265468,0.29511377245508974
2024-12-17,0.0,0.0,0.0,3.193612774451106e-05,0.16996407185628745,0.08684231536926156,0.0,0.0,0.0,0.1028582834331338,0.0,0.04754491017964075,0.0,0.3588502994011976,0.23390818363273472
2024-12-18,0.0,0.0,0.0,3.193612774451106e-05,0.08303393213572859,0.15742914171656683,0.0,0.0,0.0,0.12229141716566867,0.0,0.00016766467065868287,0.0,0.3997445109780441,0.23730139720558907
2024-12-19,0.0,0.0,0.0,0.0,0.00015169660678642747,0.19207185628742518,0.0,0.0,0.0,0.11897804391217572,0.0,0.0,0.0,0.42527744510978077,0.26352095808383214
2024-12-20,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.20677045908183633,0.0,0.0,0.0,0.08451097804391225,0.0,0.0,0.0,0.42557285429141734,0.28312974051896217
2024-12-21,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.1854051896207586,0.0,0.0,0.0,0.06603592814371251,0.0,0.0,0.0,0.4398962075848304,0.3086467065868265
2024-12-22,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.18583632734530944,0.0,0.0,0.0,0.0423393213572854,0.0,0.0,0.0,0.4485828343313376,0.3232255489021956
2024-12-23,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.19722954091816372,0.0,0.0,0.0,0.025293413173652687,0.0,0.0,0.0,0.44964471057884237,0.3278163672654694
2024-12-24,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.23443512974051908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4304031936127744,0.3351457085828344
2024-12-25,0.0,0.0,0.0,0.07830738522954096,1.596806387225553e-05,0.14590818363273467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41163273453093835,0.36413572854291393
2024-12-26,0.0,0.0,0.0,0.09780439121756491,1.596806387225553e-05,0.08910978043912178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382914171656688,0.3747784431137725
2024-12-27,0.0,0.0,0.0,0.18249101796407194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48987624750499015,0.32763273453093794
2024-12-28,0.0,0.0,0.0,0.19363672654690628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051097804391221,0.30125349301397203
2024-12-29,0.0,0.0,0.0,0.19429141716566872,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5290219560878243,0.2766706586826346
2024-12-30,0.0,0.0,0.0,0.21275049900199605,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251896207584829,0.2620439121756489
2024-12-31,0.0,0.0,0.0,0.2231057884231538,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142514970059876,0.2626267465069856
2025-01-01,0.0,0.0,0.0,0.22098203592814383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5115449101796403,0.26747305389221576
2025-01-02,0.0,0.0,0.0,0.1911457085828343,0.0,0.004135728542914176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5055089820359279,0.2992095808383236
2025-01-03,0.0,0.0,0.0,0.19941716566866274,0.0,0.00011976047904191638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49903393213572855,0.3014291417165669
2025-01-04,0.0,0.0,0.0,0.24263473053892218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5171017964071856,0.24026347305389248
2025-01-05,0.0,0.0,0.0,0.1663792415169662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549820359281437,0.2838003992015966
2025-01-06,0.0,0.0,0.0,0.15510578842315384,0.0,0.00023153692614770482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5552255489021954,0.2894371257485029
2025-01-07,0.0,0.0,0.0,0.1719680638722555,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4774451097804391,0.35057085828343326
2025-01-08,0.0,0.0,0.0,0.14293013972055893,0.0,0.0,0.0,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.522762475049901,0.2809740518962076
2025-01-09,0.0,0.0,0.0,0.17817165668662693,0.0,0.0,0.0,0.02201996007984033,0.0,0.0,0.0,0.0,0.0,0.5173493013972055,0.28245908183632756
2025-01-10,0.0,0.0,0.0,0.1641996007984032,0.0,0.0,0.018387225548902198,0.0,0.0,0.0,0.0,0.0,0.0,0.5768782435129743,0.2405349301397205
2025-01-11,0.0,0.0,0.0,0.15058682634730552,0.0,0.0,0.041612774451097824,0.0,0.0,0.0,0.0,0.0,0.0,0.5594650698602794,0.2483353293413175
2025-01-12,0.0,0.0,0.0,0.15556087824351306,0.0,0.0,0.04970059880239527,0.0,0.0,0.0,0.0,0.0,0.0,0.582938123752495,0.211800399201597
2025-01-13,0.0,0.0,0.0,0.14423153692614782,0.0,0.0,0.053852295409181634,0.0,0.0,0.0,0.0,0.0,0.0,0.5957684630738526,0.2061477045908184
2025-01-14,0.0,0.0,0.0,0.15566467065868264,0.0,0.0,0.049301397205588876,0.0,0.0,0.0,0.0,0.0,0.0,0.5803353293413178,0.21469860279441116
2025-01-15,0.0,0.0,0.0,0.16771257485029947,0.0,0.0,0.02976447105788424,0.0,0.0,0.0,0.0,0.0,0.0,0.5800558882235527,0.2224670658682634
2025-01-16,0.0,0.0,0.0,0.133500998003992,0.0,0.0,0.06023153692614771,0.0,0.0,0.0,0.0,0.0,0.0,0.5843512974051898,0.22191616766467073
2025-01-17,1.596806387225553e-05,0.0,0.0,0.1372854291417166,0.0,0.0,0.0961437125748503,0.0,0.0,0.0,7.984031936127766e-06,0.0,3.992015968063883e-05,0.46168463073852334,0.3048223552894212
2025-01-18,0.0,0.0,0.0,0.12855089820359294,0.0,1.596806387225553e-05,0.10685029940119757,0.0,0.0,0.0,7.984031936127766e-06,0.0,0.0,0.4779640718562877,0.286610778443114
2025-01-19,1.596806387225553e-05,0.0,0.0,0.11164071856287429,0.0,0.0,0.19423552894211582,0.0,0.0,0.0,7.984031936127766e-06,0.0,3.992015968063883e-05,0.3956327345309382,0.2984271457085828
2025-01-20,0.0,0.0,0.0,0.1023153692614771,0.0,1.596806387225553e-05,0.24360878243512982,0.0,0.0,0.0,7.984031936127766e-06,0.0,0.0,0.39260678642714564,0.26144510978043883
2025-01-21,1.596806387225553e-05,0.0,0.0,0.079313373253493,0.0,0.0,0.3111457085828343,0.0,0.0,0.0,0.0,0.0,0.0,0.3486467065868265,0.26087824351297395
2025-01-22,0.056942115768463065,0.0,0.0,0.07050698602794406,0.0,0.0,0.21850698602794427,0.0,0.0,0.0,0.0,0.0,0.0,0.389868263473054,0.2641756487025949
2025-01-23,0.04852694610778447,0.0,0.0,0.01769261477045909,0.0,0.0,0.35568063872255484,0.0,0.0,3.992015968063883e-05,0.011145708582834346,0.0,0.0,0.41599201596806373,0.15092215568862283
2025-01-24,0.04801596806387228,0.0,0.0,0.01048303393213572,0.0,0.0,0.3485748502994015,0.0,0.0,0.05098602794411175,4.79041916167665e-05,3.992015968063883e-05,0.0,0.3546986027944111,0.1871536926147707
2025-01-25,0.0074011976047904165,0.0,0.0,0.04964471057884234,0.0,0.0,0.24595608782435152,0.0,0.0,0.1230339321357285,0.06880638722554895,0.08638722554890217,0.0,0.2724071856287425,0.14636327345309394
2025-01-26,0.03444311377245511,0.0,0.0,0.047888223552894245,0.0,0.0,0.0,0.0,0.0,0.1072654690618763,0.09219960079840323,0.1168622754491018,0.1250219560878244,0.3184031936127748,0.15791616766467076
