,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.14949301397205594,0.0,0.0,0.027425149700598804,0.16459081836327347,0.0,0.0,0.0,0.0,0.04735329341317369,0.0,3.992015968063883e-05,0.0,0.535105788423154,0.07599201596806386
2024-12-02,0.11018762475049892,0.0,0.0,0.08146107784431143,0.14245109780439127,0.0,0.0,0.0,0.0,0.018994011976047904,0.0,3.992015968063883e-05,0.0,0.5586427145708579,0.08822355289421162
2024-12-03,0.1415728542914172,0.0,0.0,0.05774850299401197,0.1330778443113774,0.0,0.0,0.0,0.0,0.0,0.0,0.0034331337325349365,0.0,0.5322954091816358,0.13187225548902184
2024-12-04,0.13153692614770465,0.0,0.0,0.023840319361277455,0.1794411177644713,0.0,0.0,0.0,0.0,0.02252295409181636,0.0,2.395209580838325e-05,0.0,0.520199600798403,0.122435129740519
2024-12-05,0.1413732534930141,0.0,0.0,0.018035928143712573,0.17451497005988034,0.0,0.0,0.0,0.0,0.02342514970059882,0.0,0.0003433133732534928,0.0,0.5198083832335335,0.12249900199600802
2024-12-06,0.1605109780439122,0.0,0.0,0.014339321357285424,0.14620359281437129,0.0,0.0,0.0,0.0,0.03184031936127747,0.0,2.395209580838325e-05,0.0,0.542634730538922,0.10444710578842314
2024-12-07,0.1883273453093814,0.0,0.0,0.0,0.12641916167664685,0.0,0.0,0.0,0.0,0.030874251497006,0.0,0.0005588822355289427,0.0,0.5413253493013971,0.11249500998003997
2024-12-08,0.18624351297405198,0.0,0.0,0.0,0.1337165668662674,0.0,0.0,0.0,0.0,0.03284630738522956,0.0,0.002650698602794412,0.0,0.5270898203592811,0.11745309381237527
2024-12-09,0.1435369261477046,0.0,0.0,0.07104191616766473,0.12238722554890229,0.0,0.0,0.0,0.0,0.0,0.0,0.03899401197604793,0.0,0.5720878243512977,0.05195209580838325
2024-12-10,0.14501397205588826,0.0,0.0,0.0805508982035928,0.11216766467065874,0.0,0.0,0.0,0.0,0.0,0.0,0.04133333333333334,0.0,0.5693572854291411,0.051576846307385224
