,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.13791616766467063,0.0,0.0,0.0,0.05373253493013972,0.1505149700598803,0.0,0.0,1.596806387225553e-05,0.11985628742514982,0.0,7.984031936127767e-05,0.0,0.518962075848304,0.018922155688622745
2024-12-02,0.10156487025948109,0.0,0.0,0.0,0.0,0.250562874251497,0.0,0.0,1.596806387225553e-05,0.0135249500998004,0.0,2.395209580838325e-05,0.0,0.5069860279441114,0.12732135728542912
2024-12-03,0.007337325349301398,0.05316566866267468,0.0,0.0,0.0,0.2320000000000002,0.0,0.0,1.596806387225553e-05,0.0,0.0,3.193612774451106e-05,0.0,0.44497405189620787,0.2624750499001996
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.3143233532934131,0.0,0.0,1.596806387225553e-05,0.04784031936127745,0.0,4.79041916167665e-05,0.0,0.28201996007984054,0.3557524950099799
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.28952495009980034,0.0,0.0,1.596806387225553e-05,0.06706586826347304,0.0,0.0047744510978043895,0.0,0.24340119760479073,0.39521756487025983
2024-12-06,5.5888223552894286e-05,0.0,0.0,0.0,0.0,0.2665149700598801,0.0,0.0,1.596806387225553e-05,0.09975249500998004,0.0,0.05224750499002002,0.0,0.1916007984031938,0.3898123752495012
2024-12-07,0.0,0.0,0.0,0.0,0.0011177644710578857,0.27675049900199594,0.0,0.0,0.0,0.07355688622754492,0.0,0.190115768463074,0.0,0.14309780439121753,0.3153612774451101
2024-12-08,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.25485029940119774,0.0,0.0,0.0,0.09766866267465069,0.0,0.21104191616766482,0.0,0.14701796407185636,0.28940518962075834
2024-12-09,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.3307305389221558,0.0,0.0,0.0,0.0,0.0,0.25568862275449117,0.0,0.2410139720558882,0.1725508982035929
2024-12-10,0.0,0.0,0.0,0.0,0.019576846307385216,0.3525908183632736,0.0,0.0,0.0,0.0,0.0,0.31729341317365267,0.0,0.20623552894211597,0.10430339321357293
2024-12-11,0.0,0.0,0.0,0.0,0.14229141716566862,0.14988423153692623,0.0,0.0,0.0,0.047720558882235545,0.0,0.2502914171656685,0.0,0.3589461077844312,0.050866267465069885
2024-12-12,0.0,0.0,0.0,0.0,0.060407185628742505,0.1439441117764471,0.0,0.0,3.992015968063883e-05,0.1460119760479043,0.0,0.01369261477045908,0.0,0.4813173652694611,0.1545868263473055
2024-12-13,0.0,0.0,0.0,0.0,0.14266666666666675,0.07414770459081839,0.0,0.0,0.0,0.10222754491017962,0.0,2.395209580838325e-05,0.0,0.6110339321357288,0.06990019960079843
2024-12-14,0.0,0.0,0.0,0.0,0.24813572854291444,0.029029940119760494,0.0,0.0,0.0,0.027193612774451096,0.0,2.395209580838325e-05,0.0,0.695616766467066,0.0
2024-12-15,0.0,0.0,0.0,0.0,0.21330938123752508,0.04671457085828344,0.0,0.0,5.5888223552894286e-05,0.06241916167664669,0.0,2.395209580838325e-05,0.0,0.677477045908184,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.2529101796407182,0.0,0.0,0.0,0.0,0.10235528942115767,0.0,2.395209580838325e-05,0.0,0.48609980039920175,0.1586107784431139
2024-12-17,0.0,0.0,0.0,0.0,0.25603193612774455,0.0,0.0,0.0,0.0,0.1582914171656688,0.0,2.395209580838325e-05,0.0,0.4551616766467065,0.1304910179640718
2024-12-18,0.0,0.0,0.0,3.193612774451106e-05,0.07900998003992016,0.09984830339321359,0.0,0.20400000000000001,0.0,0.045556886227544925,0.0,2.395209580838325e-05,0.0,0.5589700598802393,0.012558882235528944
2024-12-19,0.0,0.0,0.07904990019960091,0.0,0.0,0.16974051896207595,0.0,0.0,1.596806387225553e-05,0.0,0.0,2.395209580838325e-05,0.0,0.7511696606786429,0.0
2024-12-20,0.0,0.0,0.11689421157684632,0.0,0.0,0.06762475049900198,0.0,0.0,1.596806387225553e-05,0.058818363273453106,0.0,0.0,0.0,0.7566467065868264,0.0
2024-12-21,0.0,0.0,0.11298203592814375,0.0,0.0,0.016151696606786434,0.0,0.0,1.596806387225553e-05,0.0910179640718562,0.0,0.0,0.0,0.7798323353293409,0.0
2024-12-22,0.0,0.0,0.09529740518962071,0.0,0.0,0.0,0.0,0.0,1.596806387225553e-05,0.0722634730538923,0.0,0.0,0.0,0.8324231536926143,0.0
2024-12-23,0.0,0.0,0.03569660678642718,0.0,0.0,0.0,0.0,0.0,0.0021876247504990028,0.07913772455089821,0.0,0.0,0.0,0.8573013972055893,0.025676646706586842
2024-12-24,0.0,0.0,0.01613572854291416,0.00012774451097804417,0.0,0.0,0.0,0.0,0.018059880239520962,0.055792415169660714,0.0,0.0,0.0,0.8841756487025945,0.02570858283433135
2024-12-25,0.0,0.1200079840319362,0.0,0.12946906187624754,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25144910179640717,0.49905788423153685
2024-12-26,0.0,0.28266666666666657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607904191616767,0.45654291417165677
2024-12-27,0.0,0.2734530938123753,0.0,0.0,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2639840319361278,0.4625469061876251
2024-12-28,0.0,0.3136606786427144,0.0,0.0,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27413972055888225,0.41218363273453085
2024-12-29,0.0,0.3004231536926147,0.0,0.0,0.0,1.596806387225553e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27638323353293426,0.4231776447105789
