,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14065177354371003,0.0,0.1049398576045119,0.0,0.6224640561019253,0.13194431274985274
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02658096213115679,0.0,0.2428195735008903,0.0,0.6548694479906093,0.07573001637734358
2024-12-03,0.0,0.015731716246169293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026499516082665812,0.16412439504496854,0.0,0.5755178913428447,0.21812648128335174
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3054011717269925,0.0,0.47037156746927133,0.22422726080373623
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30217247286129434,0.0,0.4760316473378172,0.22179587980088825
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2967988061548976,0.0,0.4748769741968238,0.2283242196482786
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.004687814065677377,0.0,0.0,0.0,0.0,0.0,0.30686786764306945,0.0,0.45640442156439853,0.23203989672685454
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.01890307577467553,0.0,0.0,0.0,0.0,0.0,0.309475999054457,0.0,0.45434473489227417,0.21727619027859316
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.14169193536198105,0.0,0.0,0.0,0.0,0.0,0.2123462743390856,0.0,0.5186268795939836,0.12733491070494973
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.2197736980421336,0.0,0.0,0.0,0.0,0.0,0.12518462234720118,0.0,0.4796237389009265,0.17541794070973873
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.06233044875305783,0.0,0.0,0.0,0.0,0.0,0.34377236884937606,0.0,0.4929475938635195,0.10094958853404659
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.005057482831722635,0.0,0.0,0.0,0.0,0.0,0.29291711976622214,0.0,0.5841790034406549,0.11784639396140041
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25911793194448496,0.0,0.6250014547915568,0.1158806132639584
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028703980187627,0.0,0.6822217850912291,0.11490781689000815
2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21501683827322562,0.0,0.6739668716525308,0.1110162900742434
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.003962326813789325,0.0,0.0,0.0,0.0,0.0,0.22770827494798238,0.0,0.7013047964800947,0.06702460175813357
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.011948879696088257,0.0,0.0,0.0,0.0,0.0,0.3057549133754223,0.0,0.6480116290546069,0.03428457787388253
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.08981544877154038,0.0,0.029160199889618908,0.0,0.0,0.0,0.19605328081751722,0.0,0.6849710705213234,0.0
2024-12-19,0.0,0.0,0.0,0.0,0.0,0.09194217071965229,0.0,0.0,0.0,0.028393902389692104,0.0,0.0,0.0,0.8796639268906558,0.0
2024-12-20,0.0,0.0,0.0,0.0,0.0,0.07618845135868947,0.0,0.0,0.0,0.060063872730277926,0.0,0.0,0.0,0.8637476759110326,0.0
2024-12-21,0.0,0.0,0.0,0.0,0.0,0.08518989933030541,0.0,0.0,0.0,0.050829583709457477,0.0,0.0,0.0,0.8639805169602371,0.0
2024-12-22,0.0,0.0,0.0,0.0,0.0,0.08794939011659442,0.0,0.0,0.0,0.01345054308634865,0.0,0.0,0.0,0.8986000667970568,0.0
2024-12-23,0.0,0.0,0.0,0.0,0.0,0.07828910948480793,0.0,0.0,0.0,0.008735841592053279,0.0,0.0,0.0,0.8792566274710936,0.033718421452045254
2024-12-24,0.0,0.0,0.0,0.0,0.0,0.09235001055681083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409545100756982,0.06669547936749089
2024-12-25,0.0,0.08736411669654204,0.0,0.1451889641006985,0.0,0.22377367785149715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09416265533503874,0.4495105860162236
2024-12-26,0.0,0.152728168986198,0.0,0.11982365283831567,0.0,0.1160021408935133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25031237018218533,0.3611336670997877
2024-12-27,0.0,0.24159379746508272,0.0,0.11033632155506537,0.0,0.017114360000770185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932147157841623,0.3377408051949195
2024-12-28,0.0,0.2825076504005869,0.0,0.02322903203992079,0.0,0.09921651075789702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26261571331113037,0.33243109349046496
2024-12-29,0.0,0.22193329267208564,0.0,0.09489877906119894,0.0,0.05772008472768882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126269220189275,0.31282092152009916
2024-12-30,0.0,0.2537764307969263,0.0,0.04195123745188026,0.0,0.07497104400173242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229426321626086,0.30635865558685244
2024-12-31,0.0,0.2519172989807959,0.0,0.11489684842746672,0.0,0.038899475504340586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30635580183501426,0.28793057525238247
2025-01-01,0.0,0.1944039512097798,0.0,0.21057411161650705,0.0,0.0,0.0,0.07433365773081062,0.0,0.0,0.0,0.0,0.0,0.25117365229580757,0.269514627147095
2025-01-02,0.0,0.2233994239760446,0.0,0.15526637870443408,0.0,0.0,0.0,0.12257520060090522,0.0,0.0,0.0,0.0,0.0,0.22234339420286228,0.2764156025157539
2025-01-03,0.0,0.2848869364574217,0.0,0.2183965927926714,0.0,0.0,0.0,0.023104349532170523,0.0,0.0,0.0,0.0,0.0,0.16966706531729694,0.30394505590043946
2025-01-04,0.0,0.02979072669873198,0.0,0.5034616383616646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28223613268407655,0.18451150225552704
2025-01-05,0.0,0.0,0.0,0.33866653800220264,0.0,0.028405561934973973,0.0749309811754669,0.0,0.0,0.0,0.0,0.0,0.0,0.32230880250034427,0.23568811638701223
2025-01-06,0.0,0.0,0.0,0.321774564532948,0.0,0.03491971239664441,0.06817597027338612,0.0,0.0,0.0,0.0,0.0,0.0,0.32584878943292794,0.2492809633640935
2025-01-07,0.03378466247858143,0.0,0.0,0.293989991376791,0.0,0.054377738801577535,0.0,0.017250802010910466,0.0,0.0,0.0,0.0,0.0,0.2070919289677513,0.3935048763643883
2025-01-08,0.012216588894974031,0.0,0.0,0.3000821449984282,0.0,0.02203313595666373,0.0,0.10839330787813577,0.0,0.0,0.0,0.0,0.0,0.2720295506762517,0.28524527159554647
2025-01-09,0.053176473590713,0.0,0.0,0.3704576922474468,0.0,0.019466235036925284,0.0,0.05522006047536409,0.0,0.0,0.0,0.0,0.0,0.24093574903819898,0.2607437896113518
2025-01-10,0.11537307693133589,0.0,0.0,0.35259915370952893,0.0,0.007250459530064907,0.0,0.0,1.1583360374491395e-05,0.0,0.0,0.0,0.06106873964826661,0.20634449770637076,0.25735248911405845
2025-01-11,0.0178676651899481,0.0,0.0,0.41511086405973224,0.0,0.07533231356633373,0.0,0.0,0.0,0.0,0.0,0.0,0.04369544158487431,0.1312279120259823,0.3167658035731293
2025-01-12,0.17777816751466285,0.0,0.0,0.2937248314596031,0.0,0.0,0.03606789439198702,0.0,0.0,0.0,0.0,0.0,0.09849763121217395,0.16216376710031147,0.23176770832126167
2025-01-13,0.17327698076766757,0.0,0.0,0.19579082319565858,0.0,0.05077455016664986,0.12729751954074922,0.0,0.0,0.0,0.0,0.0,0.0,0.21662016084603045,0.23623996548324436
2025-01-14,0.10221955747466047,0.0,0.0,0.2362461205654572,0.0,0.12622310366084377,0.07756104792232285,0.0,0.0,0.0,0.0,0.0,0.0,0.17845981836979827,0.2792903520069173
2025-01-15,0.09803976278491622,0.0,0.0,0.21878510796484843,0.0,0.14517227397374718,0.0,0.0,0.0,0.0,0.0,0.0,0.00733626101790714,0.2662966141808124,0.26436998007776846
2025-01-16,0.2322426038886694,0.0,0.0,0.11398029493382986,0.0,0.018629757192432653,0.07159666937687423,0.0,0.0,0.0,0.0,0.0,0.052612574876892096,0.337926481370599,0.17301161836070275
2025-01-17,0.03125246236262886,0.0,0.0,0.23536176970387196,0.0,0.06294072240381267,0.17547232240902969,0.0,0.0,0.0,0.0,0.0,0.0,0.2917898869944981,0.2031828361261587
2025-01-18,0.03021816364781643,0.0,0.0,0.24114905959235983,0.0,0.0762340659173369,0.169712747961927,0.0,0.0,0.0,0.0,0.0,0.0,0.29001568134623096,0.19267028153432889
2025-01-19,0.06210744538571588,0.0,0.0,0.09886382840556557,0.0,0.03780001710408154,0.35314007423779425,0.0,0.0,0.0,0.0,0.0,0.0,0.2751654085537132,0.17292322631312962
2025-01-20,0.025615760891297953,0.0,0.0,0.07759136266827223,0.0,0.07182672340706718,0.3925291542971079,0.0,0.0,0.0,0.0,0.0,0.0,0.2663632854485835,0.16607371328767126
