,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.0,0.0,0.0,0.016921756675220848,0.0,0.0,0.0,0.0,0.0,0.10910179844795498,0.0,0.1455830420071877,0.0,0.5988124035993294,0.12958099927030714
2024-12-02,0.0,0.0,0.0,0.02316961771548669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197679032432993,0.0,0.5563715210913345,0.10069095794987949
2024-12-03,0.0,0.02056306667284929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449915054100426,0.18219563054906837,0.0,0.5072998539396718,0.24494994342836787
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2726717537923825,0.0,0.402480851062482,0.32484739514513555
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2710832869074839,0.0,0.41714336771549804,0.31177334537701823
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679679359670923,0.0,0.4131087415338301,0.3189233224990776
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034359654599822,0.0,0.42664897574401284,0.2699150587960051
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3067539767316188,0.0,0.4473776269118219,0.24586839635655916
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.10774324160894574,0.0,0.0,0.0,0.0,0.0,0.25047486958010795,0.0,0.5114556053558493,0.13032628345509706
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.19069597267738164,0.0,0.0,0.0,0.0,0.0,0.1967020659825035,0.0,0.5373729742579131,0.07522898708220183
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.051207853777303546,0.0,0.0,0.0,0.0,0.0,0.31879587481760246,0.0,0.6017627147256449,0.02823355667944916
