,XGBoost,LightGBM,ExtraTrees,CatBoost,KNN,SVR,ElasticNet,BayesianRidge,LSTM,Prophet,NeuralProphet,SARIMAX,AR_Eco,TFT,N-HiTS
2024-12-01,0.0,0.11096551875442498,0.0,0.0,0.0,0.06555842383212836,0.0,0.0,0.0,0.0006392435292739247,0.0,0.13671028499023777,0.0,0.4957335947375802,0.1903929341563548
2024-12-02,0.0,0.06229256401686355,0.0,0.0,0.0,0.07755267558243362,0.0,0.0,0.0,0.0,0.0,0.14367668120287816,0.0,0.5069506906049677,0.20952738859285686
2024-12-03,0.0,0.10441417068231106,0.0,0.0,0.0,0.037314233777924484,0.0,0.0,0.0,0.0,0.0,0.14875885184083246,0.0,0.4627343537567259,0.24677838994220616
2024-12-04,0.0,0.038972474968837996,0.0,0.0,0.0,0.03343212758184362,0.0,0.0,0.0,0.0,0.0,0.2000172010251191,0.0,0.46937782527555383,0.25820037114864547
2024-12-05,0.0,0.018822104309415985,0.0,0.0,0.0,0.009609035620150579,0.0,0.0,0.0,0.0,0.0,0.2583621747885645,0.0,0.41746317601420924,0.2957435092676597
2024-12-06,0.0,0.024299771387686138,0.0,0.015667013159235712,0.0,0.008356857826649163,0.0,0.0,0.0,0.0,0.0,0.18364622140264164,0.0,0.4790473411275408,0.2889827950962464
2024-12-07,0.0,0.021692190662436776,0.0,0.017040218060945116,0.0,0.010204503174206776,0.0,0.0,0.0,0.0,0.0,0.188431484637756,0.0,0.47242759366832104,0.2902040097963343
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25561313882083353,0.0,0.4399562587667789,0.30443060241238745
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.017243560483270404,0.0,0.0,0.0,0.0,0.0,0.2693290092216514,0.0,0.4977774678734476,0.21564996242163048
2024-12-10,0.0,0.0,0.0,0.01510065372254994,0.0,0.03268185310117387,0.0,0.0,0.0,0.0,0.0,0.1791037272510595,0.0,0.5389505404231549,0.23416322550206167
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24162208805053784,0.0,0.5680880000972333,0.1902899118522289
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.006973073100448345,0.0,0.0,0.0,0.0,0.0,0.278887486044022,0.0,0.476654956498609,0.23748448435692063
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002179245100164041,0.0,0.22124370411416439,0.0,0.5280907912308512,0.2484862595548203
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.026686929381583766,0.0,0.0,0.0,0.030389492131710796,0.0,0.1274858623215827,0.0,0.5880908214866495,0.22734689467847327
2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0233419360703436,0.0,0.0,0.0,0.03357644016060521,0.0,0.12706725072868197,0.0,0.5853831376660446,0.23063123537432476
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.043893966320173616,0.0,0.0,0.0,0.037498175407594744,0.0,0.13808885427737325,0.0,0.5593581769688907,0.2211608270259677
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.06392328991012332,0.0,0.0,0.0,0.03521201470926922,0.0,0.16919538615162708,0.0,0.5271186878686784,0.20455062136030203
